1 Jan,34.6,23.9,25.8,21.9,0,11.6,5.8,1130,1015.3,1010
3 Jan,32.7,26.6,26.7,23.7,0,13,5.8,1071,1013.8,1010
4 Jan,33.1,25.9,25.4,21.4,0,8.5,4.5,782,1015.1,1010
5 Jan,32.9,25.6,26.2,23.4,13.2,6.3,3.6,956,1014.6,1010
6 Jan,32.5,26.3,25.9,23.6,0.2,8.9,4.5,998,1014.7,1010
1 Jan,34.6,23.9,24.8,21.9,0,11.6,5.8,1130,1015.3,1010
7 Jan,32.7,26.4,25.2,23,0,11.2,4.5,1058,1014.4,1010
8 Jan,31.4,26.2,26.8,23.8,4.6,7.6,4,1123,1014.9,1010
9 Jan,32.6,26.3,25.8,23.3,0,9.8,4.9,1062,1014.5,1010
10 Jan,33.2,26.3,25.1,21.6,0,11.2,4.9,983,1014.2,1010
11 Jan,32.6,25.3,24.9,22,0,8.9,4.5,1060,1014.3,1010
12 Jan,34.4,24.9,25.3,20.4,44,8,3.6,963,1014.6,1010
13 Jan,33,25.4,25.4,22.4,0,9.8,4.9,1083,1014.2,1010
14 Jan,32.1,25.7,26.2,23.2,0.4,8.9,4.9,1102,1013,1010
16 Jan,32.6,25.1,24.9,22.8,0,7.6,4.5,1141,1013.3,1010
16 Jan,32.6,24.8,25.7,22.8,20.8,12.5,5.4,1171,1013.3,1010
18 Jan,28.7,23.4,25,22.6,22.4,8.5,4,295,1013.9,1010
20 Jan,32.7,25.3,25.2,23,0,9.4,4.9,1021,1013.8,1010
21 Jan,32.7,25.1,25.9,21.7,3.6,8.5,4.5,1100,1014.8,1010
22 Jan,31.8,25.1,24.5,22.6,0,10.3,4.5,993,1015.7,1010
23 Jan,32.4,25.7,24.6,21.5,0,11.6,5.4,1067,1015,1010
24 Jan,31.3,25.8,24.2,22.4,0,9.8,4.5,990,1015.6,1010
25 Jan,30.9,25.2,24.4,21.5,0,8.9,4.9,977,1016,1010
25 Jan,31.6,25.2,24.4,21.5,0,10.7,4.9,1167,1016,1010
27 Jan,32.2,25.8,24.8,22.7,0.2,10.3,6.3,972,1015.3,1010
28 Jan,29.3,24.9,25,23,0.4,12.1,5.4,733,1015.6,1010
29 Jan,32.5,25.6,25.8,23,0,11.2,5.4,1069,1015,1010
30 Jan,32.2,25.9,24.7,22.5,0,8.9,4.5,1020,1015.9,1010
31 Jan,32.6,25.3,24.5,22.3,0,8,4.5,1056,1016.2,1010
1 Feb,33.1,25.6,24.7,22.9,0,10.3,4.9,962,1015.8,1010
